rank,count,frequency,subset
1,305,0.993485342019544,train
2,306,0.996742671009772,train
3,306,0.996742671009772,train
4,306,0.996742671009772,train
5,306,0.996742671009772,train
6,306,0.996742671009772,train
7,306,0.996742671009772,train
8,306,0.996742671009772,train
9,306,0.996742671009772,train
10,306,0.996742671009772,train
11,306,0.996742671009772,train
12,306,0.996742671009772,train
13,306,0.996742671009772,train
14,307,1.0,train
15,307,1.0,train
16,307,1.0,train
17,307,1.0,train
18,307,1.0,train
19,307,1.0,train
20,307,1.0,train
21,307,1.0,train
22,307,1.0,train
23,307,1.0,train
24,307,1.0,train
25,307,1.0,train
26,307,1.0,train
27,307,1.0,train
28,307,1.0,train
29,307,1.0,train
30,307,1.0,train
31,307,1.0,train
32,307,1.0,train
33,307,1.0,train
34,307,1.0,train
35,307,1.0,train
36,307,1.0,train
37,307,1.0,train
38,307,1.0,train
39,307,1.0,train
40,307,1.0,train
41,307,1.0,train
42,307,1.0,train
43,307,1.0,train
44,307,1.0,train
45,307,1.0,train
46,307,1.0,train
47,307,1.0,train
48,307,1.0,train
49,307,1.0,train
50,307,1.0,train
51,307,1.0,train
52,307,1.0,train
53,307,1.0,train
54,307,1.0,train
55,307,1.0,train
56,307,1.0,train
57,307,1.0,train
58,307,1.0,train
59,307,1.0,train
60,307,1.0,train
61,307,1.0,train
62,307,1.0,train
63,307,1.0,train
64,307,1.0,train
65,307,1.0,train
66,307,1.0,train
67,307,1.0,train
68,307,1.0,train
69,307,1.0,train
70,307,1.0,train
71,307,1.0,train
72,307,1.0,train
73,307,1.0,train
74,307,1.0,train
75,307,1.0,train
76,307,1.0,train
77,307,1.0,train
78,307,1.0,train
79,307,1.0,train
80,307,1.0,train
81,307,1.0,train
82,307,1.0,train
83,307,1.0,train
84,307,1.0,train
85,307,1.0,train
86,307,1.0,train
87,307,1.0,train
88,307,1.0,train
89,307,1.0,train
90,307,1.0,train
91,307,1.0,train
92,307,1.0,train
93,307,1.0,train
94,307,1.0,train
95,307,1.0,train
96,307,1.0,train
97,307,1.0,train
98,307,1.0,train
99,307,1.0,train
100,307,1.0,train
101,307,1.0,train
102,307,1.0,train
103,307,1.0,train
104,307,1.0,train
105,307,1.0,train
106,307,1.0,train
107,307,1.0,train
108,307,1.0,train
109,307,1.0,train
110,307,1.0,train
111,307,1.0,train
112,307,1.0,train
113,307,1.0,train
114,307,1.0,train
115,307,1.0,train
116,307,1.0,train
117,307,1.0,train
118,307,1.0,train
119,307,1.0,train
120,307,1.0,train
121,307,1.0,train
122,307,1.0,train
123,307,1.0,train
124,307,1.0,train
125,307,1.0,train
126,307,1.0,train
127,307,1.0,train
128,307,1.0,train
129,307,1.0,train
130,307,1.0,train
131,307,1.0,train
132,307,1.0,train
133,307,1.0,train
134,307,1.0,train
135,307,1.0,train
136,307,1.0,train
137,307,1.0,train
138,307,1.0,train
139,307,1.0,train
140,307,1.0,train
141,307,1.0,train
142,307,1.0,train
143,307,1.0,train
144,307,1.0,train
145,307,1.0,train
146,307,1.0,train
147,307,1.0,train
148,307,1.0,train
149,307,1.0,train
150,307,1.0,train
151,307,1.0,train
152,307,1.0,train
153,307,1.0,train
154,307,1.0,train
155,307,1.0,train
156,307,1.0,train
157,307,1.0,train
158,307,1.0,train
159,307,1.0,train
160,307,1.0,train
161,307,1.0,train
162,307,1.0,train
163,307,1.0,train
164,307,1.0,train
165,307,1.0,train
166,307,1.0,train
167,307,1.0,train
168,307,1.0,train
169,307,1.0,train
170,307,1.0,train
171,307,1.0,train
172,307,1.0,train
173,307,1.0,train
174,307,1.0,train
175,307,1.0,train
176,307,1.0,train
177,307,1.0,train
178,307,1.0,train
179,307,1.0,train
180,307,1.0,train
181,307,1.0,train
182,307,1.0,train
183,307,1.0,train
184,307,1.0,train
1,76,0.6031746031746031,test
2,85,0.6746031746031746,test
3,87,0.6904761904761905,test
4,92,0.7301587301587301,test
5,94,0.746031746031746,test
6,94,0.746031746031746,test
7,98,0.7777777777777778,test
8,103,0.8174603174603174,test
9,103,0.8174603174603174,test
10,104,0.8253968253968254,test
11,104,0.8253968253968254,test
12,105,0.8333333333333334,test
13,106,0.8412698412698413,test
14,108,0.8571428571428571,test
15,108,0.8571428571428571,test
16,108,0.8571428571428571,test
17,108,0.8571428571428571,test
18,108,0.8571428571428571,test
19,108,0.8571428571428571,test
20,109,0.8650793650793651,test
21,109,0.8650793650793651,test
22,109,0.8650793650793651,test
23,111,0.8809523809523809,test
24,112,0.8888888888888888,test
25,112,0.8888888888888888,test
26,112,0.8888888888888888,test
27,112,0.8888888888888888,test
28,112,0.8888888888888888,test
29,112,0.8888888888888888,test
30,112,0.8888888888888888,test
31,112,0.8888888888888888,test
32,112,0.8888888888888888,test
33,114,0.9047619047619048,test
34,115,0.9126984126984127,test
35,115,0.9126984126984127,test
36,116,0.9206349206349206,test
37,117,0.9285714285714286,test
38,118,0.9365079365079365,test
39,118,0.9365079365079365,test
40,119,0.9444444444444444,test
41,119,0.9444444444444444,test
42,119,0.9444444444444444,test
43,119,0.9444444444444444,test
44,119,0.9444444444444444,test
45,119,0.9444444444444444,test
46,119,0.9444444444444444,test
47,119,0.9444444444444444,test
48,119,0.9444444444444444,test
49,119,0.9444444444444444,test
50,119,0.9444444444444444,test
51,119,0.9444444444444444,test
52,119,0.9444444444444444,test
53,119,0.9444444444444444,test
54,120,0.9523809523809523,test
55,120,0.9523809523809523,test
56,121,0.9603174603174603,test
57,121,0.9603174603174603,test
58,121,0.9603174603174603,test
59,121,0.9603174603174603,test
60,121,0.9603174603174603,test
61,121,0.9603174603174603,test
62,121,0.9603174603174603,test
63,121,0.9603174603174603,test
64,121,0.9603174603174603,test
65,121,0.9603174603174603,test
66,121,0.9603174603174603,test
67,122,0.9682539682539683,test
68,122,0.9682539682539683,test
69,123,0.9761904761904762,test
70,123,0.9761904761904762,test
71,123,0.9761904761904762,test
72,123,0.9761904761904762,test
73,123,0.9761904761904762,test
74,123,0.9761904761904762,test
75,123,0.9761904761904762,test
76,123,0.9761904761904762,test
77,123,0.9761904761904762,test
78,123,0.9761904761904762,test
79,123,0.9761904761904762,test
80,123,0.9761904761904762,test
81,123,0.9761904761904762,test
82,123,0.9761904761904762,test
83,123,0.9761904761904762,test
84,123,0.9761904761904762,test
85,123,0.9761904761904762,test
86,123,0.9761904761904762,test
87,123,0.9761904761904762,test
88,123,0.9761904761904762,test
89,123,0.9761904761904762,test
90,123,0.9761904761904762,test
91,123,0.9761904761904762,test
92,123,0.9761904761904762,test
93,123,0.9761904761904762,test
94,123,0.9761904761904762,test
95,123,0.9761904761904762,test
96,123,0.9761904761904762,test
97,123,0.9761904761904762,test
98,123,0.9761904761904762,test
99,123,0.9761904761904762,test
100,123,0.9761904761904762,test
101,123,0.9761904761904762,test
102,123,0.9761904761904762,test
103,123,0.9761904761904762,test
104,123,0.9761904761904762,test
105,124,0.9841269841269841,test
106,124,0.9841269841269841,test
107,124,0.9841269841269841,test
108,124,0.9841269841269841,test
109,124,0.9841269841269841,test
110,124,0.9841269841269841,test
111,124,0.9841269841269841,test
112,124,0.9841269841269841,test
113,124,0.9841269841269841,test
114,124,0.9841269841269841,test
115,124,0.9841269841269841,test
116,124,0.9841269841269841,test
117,124,0.9841269841269841,test
118,124,0.9841269841269841,test
119,124,0.9841269841269841,test
120,124,0.9841269841269841,test
121,124,0.9841269841269841,test
122,124,0.9841269841269841,test
123,124,0.9841269841269841,test
124,124,0.9841269841269841,test
125,124,0.9841269841269841,test
126,124,0.9841269841269841,test
127,124,0.9841269841269841,test
128,124,0.9841269841269841,test
129,124,0.9841269841269841,test
130,124,0.9841269841269841,test
131,124,0.9841269841269841,test
132,124,0.9841269841269841,test
133,124,0.9841269841269841,test
134,124,0.9841269841269841,test
135,125,0.9920634920634921,test
136,125,0.9920634920634921,test
137,125,0.9920634920634921,test
138,125,0.9920634920634921,test
139,125,0.9920634920634921,test
140,125,0.9920634920634921,test
141,125,0.9920634920634921,test
142,125,0.9920634920634921,test
143,125,0.9920634920634921,test
144,125,0.9920634920634921,test
145,125,0.9920634920634921,test
146,125,0.9920634920634921,test
147,125,0.9920634920634921,test
148,125,0.9920634920634921,test
149,125,0.9920634920634921,test
150,126,1.0,test
151,126,1.0,test
152,126,1.0,test
153,126,1.0,test
154,126,1.0,test
155,126,1.0,test
156,126,1.0,test
157,126,1.0,test
158,126,1.0,test
159,126,1.0,test
160,126,1.0,test
161,126,1.0,test
162,126,1.0,test
163,126,1.0,test
164,126,1.0,test
