rank,count,frequency,subset,approach
1,8,0.03902439024390244,train,after-conv13-msr
2,10,0.04878048780487805,train,after-conv13-msr
3,12,0.05853658536585366,train,after-conv13-msr
4,14,0.06829268292682927,train,after-conv13-msr
5,19,0.09268292682926829,train,after-conv13-msr
6,21,0.1024390243902439,train,after-conv13-msr
7,25,0.12195121951219512,train,after-conv13-msr
8,27,0.13170731707317074,train,after-conv13-msr
9,30,0.14634146341463414,train,after-conv13-msr
10,32,0.15609756097560976,train,after-conv13-msr
11,35,0.17073170731707318,train,after-conv13-msr
12,37,0.18048780487804877,train,after-conv13-msr
13,38,0.18536585365853658,train,after-conv13-msr
14,40,0.1951219512195122,train,after-conv13-msr
15,42,0.2048780487804878,train,after-conv13-msr
16,44,0.2146341463414634,train,after-conv13-msr
17,48,0.23414634146341465,train,after-conv13-msr
18,52,0.25365853658536586,train,after-conv13-msr
19,52,0.25365853658536586,train,after-conv13-msr
20,54,0.2634146341463415,train,after-conv13-msr
21,55,0.2682926829268293,train,after-conv13-msr
22,56,0.2731707317073171,train,after-conv13-msr
23,59,0.28780487804878047,train,after-conv13-msr
24,60,0.2926829268292683,train,after-conv13-msr
25,62,0.3024390243902439,train,after-conv13-msr
26,66,0.32195121951219513,train,after-conv13-msr
27,68,0.33170731707317075,train,after-conv13-msr
28,71,0.3463414634146341,train,after-conv13-msr
29,71,0.3463414634146341,train,after-conv13-msr
30,71,0.3463414634146341,train,after-conv13-msr
31,73,0.35609756097560974,train,after-conv13-msr
32,79,0.3853658536585366,train,after-conv13-msr
33,79,0.3853658536585366,train,after-conv13-msr
34,79,0.3853658536585366,train,after-conv13-msr
35,81,0.3951219512195122,train,after-conv13-msr
36,81,0.3951219512195122,train,after-conv13-msr
37,83,0.40487804878048783,train,after-conv13-msr
38,85,0.4146341463414634,train,after-conv13-msr
39,87,0.424390243902439,train,after-conv13-msr
40,89,0.43414634146341463,train,after-conv13-msr
41,89,0.43414634146341463,train,after-conv13-msr
42,91,0.44390243902439025,train,after-conv13-msr
43,93,0.45365853658536587,train,after-conv13-msr
44,95,0.4634146341463415,train,after-conv13-msr
45,95,0.4634146341463415,train,after-conv13-msr
46,96,0.4682926829268293,train,after-conv13-msr
47,98,0.47804878048780486,train,after-conv13-msr
48,98,0.47804878048780486,train,after-conv13-msr
49,100,0.4878048780487805,train,after-conv13-msr
50,102,0.4975609756097561,train,after-conv13-msr
51,103,0.5024390243902439,train,after-conv13-msr
52,104,0.5073170731707317,train,after-conv13-msr
53,104,0.5073170731707317,train,after-conv13-msr
54,104,0.5073170731707317,train,after-conv13-msr
55,106,0.5170731707317073,train,after-conv13-msr
