epoch,subset,total_cases,rank1,rank2,rank5,rank
0,train,230,4,7,14,24
0,test,66,1,3,7,10
5,train,230,37,50,86,107
5,test,66,4,8,10,15
10,train,230,111,130,147,157
10,test,66,4,4,10,15
15,train,230,158,172,182,200
15,test,66,1,3,9,19
20,train,230,195,199,203,208
20,test,66,3,4,9,16
25,train,230,205,212,216,222
25,test,66,6,7,10,18
30,train,230,211,214,222,225
30,test,66,4,7,13,18
35,train,230,216,223,227,230
35,test,66,4,10,15,20
40,train,230,224,226,226,227
40,test,66,5,10,12,16
45,train,230,222,226,229,229
45,test,66,5,10,14,20
50,train,230,228,228,229,230
50,test,66,7,10,13,18
55,train,230,229,229,230,230
55,test,66,6,10,14,17
60,train,230,228,228,229,230
60,test,66,8,10,13,17
65,train,230,228,228,230,230
65,test,66,7,10,12,18
70,train,230,229,230,230,230
70,test,66,5,10,15,17
75,train,230,223,228,229,229
75,test,66,5,9,12,17
80,train,230,227,230,230,230
80,test,66,5,9,15,20
0,train,230,27,41,74,101
0,test,66,6,10,13,16
5,train,230,7,9,22,48
5,test,66,3,3,3,9
10,train,230,7,15,28,52
10,test,66,3,3,3,12
15,train,230,6,14,31,53
15,test,66,3,3,7,12
20,train,230,25,34,57,89
20,test,66,1,4,11,20
25,train,230,23,37,68,98
25,test,66,5,7,11,22
30,train,230,32,50,81,118
30,test,66,6,9,16,25
35,train,230,41,62,94,127
35,test,66,8,10,19,29
40,train,230,48,80,132,161
40,test,66,5,10,19,26
45,train,230,51,84,131,173
45,test,66,8,12,18,27
50,train,230,66,102,144,168
50,test,66,6,12,20,27
55,train,230,65,89,139,177
55,test,66,12,14,20,29
60,train,230,83,112,151,184
60,test,66,7,14,17,31
65,train,230,82,104,149,186
65,test,66,10,17,21,30
70,train,230,75,115,166,195
70,test,66,10,16,26,30
75,train,230,91,126,156,189
75,test,66,10,15,23,28
80,train,230,106,136,174,194
80,test,66,12,15,24,30
85,train,230,98,130,176,190
85,test,66,12,15,28,31
90,train,230,90,127,176,201
90,test,66,13,18,25,33
95,train,230,97,140,184,207
95,test,66,13,21,27,31
100,train,230,116,140,180,201
100,test,66,15,21,30,34
105,train,230,90,126,169,194
105,test,66,13,20,25,32
110,train,230,112,145,181,199
110,test,66,14,20,25,29
115,train,230,109,144,183,204
115,test,66,15,16,26,32
120,train,230,108,142,184,206
120,test,66,14,22,30,40
125,train,230,111,139,174,203
125,test,66,16,20,25,32
130,train,230,113,148,183,208
130,test,66,17,19,26,34
135,train,230,118,153,186,207
135,test,66,16,22,28,37
140,train,230,110,145,180,202
140,test,66,13,18,28,35
145,train,230,118,145,182,210
145,test,66,15,19,29,38
150,train,230,114,155,189,211
150,test,66,15,19,27,34
155,train,230,104,144,185,206
155,test,66,18,22,29,35
160,train,230,119,144,187,210
160,test,66,19,22,29,35
165,train,230,116,153,185,210
165,test,66,16,24,29,36
0,train,230,145,173,197,215
0,test,66,16,24,30,35
5,train,230,145,179,202,215
5,test,66,18,22,28,37
10,train,230,154,179,209,219
10,test,66,16,21,25,36
15,train,230,152,180,214,223
15,test,66,18,25,28,32
20,train,230,148,178,203,214
20,test,66,18,24,30,36
25,train,230,153,189,214,224
25,test,66,16,21,29,36
30,train,230,156,183,205,220
30,test,66,16,20,30,37
35,train,230,168,191,212,223
35,test,66,15,22,31,38
40,train,230,159,182,210,222
40,test,66,17,19,30,39
45,train,230,151,177,203,213
45,test,66,17,21,28,36
0,train,230,218,224,228,230
0,test,66,17,23,31,35
5,train,230,218,226,229,229
5,test,66,20,25,32,38
10,train,230,216,224,230,230
10,test,66,20,22,32,38
15,train,230,225,228,230,230
15,test,66,23,25,31,37
20,train,230,226,229,230,230
20,test,66,18,25,29,35
25,train,230,230,230,230,230
25,test,66,20,25,35,39
30,train,230,223,229,230,230
30,test,66,14,21,28,35
35,train,230,229,230,230,230
35,test,66,16,22,29,38
40,train,230,226,228,230,230
40,test,66,15,23,30,36
45,train,230,226,229,230,230
45,test,66,19,24,31,40
50,train,230,227,230,230,230
50,test,66,18,23,32,41
55,train,230,226,229,230,230
55,test,66,18,27,34,41
60,train,230,226,229,230,230
60,test,66,17,24,32,39
65,train,230,227,230,230,230
65,test,66,16,21,30,36
70,train,230,229,230,230,230
70,test,66,16,20,34,37
75,train,230,230,230,230,230
75,test,66,16,21,30,42
80,train,230,229,230,230,230
80,test,66,15,19,32,37
85,train,230,229,230,230,230
85,test,66,16,23,31,41
90,train,230,227,230,230,230
90,test,66,15,20,31,39
0,train,230,71,99,137,163
0,test,66,15,22,32,38
5,train,230,15,20,37,61
5,test,66,8,11,11,14
10,train,230,12,21,40,70
10,test,66,11,11,13,19
15,train,230,22,31,84,119
15,test,66,9,12,17,22
20,train,230,37,51,97,146
