epoch,subset,total_cases,rank1,rank2,rank5,rank
0,test,126,12,20,32,35
5,train,307,53,66,109,154
5,test,126,0,4,9,16
0,train,307,73,101,144,166
0,test,126,2,4,7,11
5,train,307,233,250,274,285
5,test,126,18,25,31,39
10,train,307,241,263,290,295
10,test,126,17,24,34,42
15,train,307,250,271,291,298
15,test,126,16,25,33,41
20,train,307,255,276,286,297
20,test,126,18,25,38,49
25,train,307,255,275,285,296
25,test,126,23,30,40,49
30,train,307,263,277,292,296
30,test,126,19,28,36,46
35,train,307,273,286,297,302
35,test,126,18,30,40,48
40,train,307,276,286,297,302
40,test,126,15,27,34,47
45,train,307,272,288,301,304
45,test,126,24,31,40,50
50,train,307,275,292,301,304
50,test,126,23,29,41,49
55,train,307,268,282,294,302
55,test,126,19,29,39,48
60,train,307,288,297,302,305
60,test,126,22,32,38,46
65,train,307,282,291,300,302
65,test,126,21,34,44,54
70,train,307,287,298,305,305
70,test,126,19,27,36,48
75,train,307,292,302,304,306
75,test,126,21,28,39,52
80,train,307,275,288,300,303
80,test,126,16,27,38,45
85,train,307,287,294,303,305
85,test,126,21,29,34,47
90,train,307,289,300,305,306
90,test,126,19,33,40,49
95,train,307,294,301,305,306
95,test,126,21,28,42,50
100,train,307,298,306,307,307
100,test,126,22,29,42,55
105,train,307,293,296,305,307
105,test,126,18,28,42,56
110,train,307,298,304,304,304
110,test,126,27,35,48,58
115,train,307,294,301,305,307
115,test,126,28,35,49,57
120,train,307,288,303,306,307
120,test,126,22,33,43,52
125,train,307,299,305,307,307
125,test,126,24,28,41,52
130,train,307,305,307,307,307
130,test,126,25,35,45,55
135,train,307,290,297,304,307
135,test,126,22,29,38,45
140,train,307,298,303,307,307
140,test,126,22,27,43,52
0,train,307,292,301,304,307
0,test,126,23,32,42,48
5,train,307,291,303,306,307
5,test,126,27,31,44,53
10,train,307,302,305,306,306
10,test,126,24,31,44,52
15,train,307,292,302,304,305
15,test,126,29,37,43,53
20,train,307,302,306,307,307
20,test,126,24,36,43,55
25,train,307,295,298,304,307
25,test,126,28,34,47,56
30,train,307,292,303,305,306
30,test,126,25,32,45,56
35,train,307,292,299,303,305
35,test,126,25,32,50,57
40,train,307,295,300,306,307
40,test,126,23,29,38,54
45,train,307,297,302,305,306
45,test,126,21,29,42,54
50,train,307,295,302,307,307
50,test,126,17,25,37,47
55,train,307,299,304,306,306
55,test,126,24,32,41,53
0,train,307,229,247,262,275
0,test,126,26,29,44,52
5,train,307,233,249,269,278
5,test,126,21,29,42,53
10,train,307,238,255,281,292
10,test,126,21,30,41,56
15,train,307,237,260,284,291
15,test,126,18,27,42,52
20,train,307,249,267,285,298
20,test,126,17,25,41,53
25,train,307,257,280,291,297
25,test,126,17,25,39,57
30,train,307,257,280,295,299
30,test,126,15,24,39,50
35,train,307,262,276,299,302
35,test,126,18,31,46,59
40,train,307,269,282,295,300
40,test,126,19,28,40,57
45,train,307,265,286,294,299
45,test,126,25,32,46,54
50,train,307,266,281,294,303
50,test,126,18,30,41,58
55,train,307,271,280,297,302
55,test,126,31,34,44,58
60,train,307,273,291,301,307
60,test,126,20,30,47,56
65,train,307,282,293,300,304
65,test,126,21,27,47,53
70,train,307,280,290,300,304
70,test,126,24,30,41,50
75,train,307,274,289,298,303
75,test,126,21,32,49,58
80,train,307,272,290,301,305
80,test,126,25,28,44,53
85,train,307,274,289,301,304
85,test,126,18,25,40,53
90,train,307,272,293,299,303
90,test,126,20,29,46,55
95,train,307,290,300,305,306
95,test,126,20,29,43,54
100,train,307,280,295,304,306
100,test,126,23,32,46,54
105,train,307,282,294,302,306
105,test,126,23,33,50,60
110,train,307,285,299,305,306
110,test,126,21,31,47,63
115,train,307,274,293,301,304
115,test,126,31,35,50,62
120,train,307,291,301,306,307
120,test,126,25,32,47,53
0,train,307,284,295,302,303
0,test,126,24,31,42,53
0,train,307,278,291,303,305
0,test,126,23,29,40,55
5,train,307,285,294,302,303
5,test,126,20,28,42,51
10,train,307,282,293,301,304
10,test,126,25,30,46,55
15,train,307,288,297,302,305
15,test,126,24,34,48,59
20,train,307,287,299,304,305
20,test,126,25,36,51,62
25,train,307,286,297,302,304
25,test,126,29,36,50,66
30,train,307,295,301,305,306
30,test,126,25,34,45,61
35,train,307,285,297,302,304
35,test,126,25,36,49,63
40,train,307,297,304,306,306
40,test,126,19,33,49,57
45,train,307,288,298,302,304
45,test,126,25,29,41,56
50,train,307,292,299,305,306
50,test,126,25,36,48,55
0,train,307,286,300,305,306
0,test,126,23,31,45,60
5,train,307,290,300,304,304
5,test,126,22,31,44,60
10,train,307,285,294,301,305
10,test,126,23,31,42,55
